order	season	episode	character_killed	killer	method	method_cat	reason	location	allegiance	importance
2006	7	6	Wight	Jorah Mormont	Dragonglass knife	Blade	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2007	7	6	Wight	Tormund	Dragonglass axe	Axe	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2008	7	6	Wight	Jorah Mormont	Dragonglass knife	Blade	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2009	7	6	Wight	Beric Dondarrion	Flaming sword	Blade	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2010	7	6	Wight	Tormund	Dragonglass axe	Axe	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2011	7	6	Wight	Sandor “the Hound” Clegane	Dragonglass axe	Axe	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2012	7	6	Wight	Jorah Mormont	Dragonglass knife	Blade	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2013	7	6	Wight	Tormund	Dragonglass axe	Axe	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2014	7	6	Wight	Tormund	Dragonglass axe	Axe	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2015	7	6	Wight	Tormund	Dragonglass axe	Axe	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2016	7	6	Wight	Jorah Mormont	Dragonglass knife	Blade	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2017	7	6	Wight	Jorah Mormont	Dragonglass knife	Blade	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2018	7	6	Wight	Jorah Mormont	Dragonglass knife	Blade	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2019	7	6	Wight	Sandor “the Hound” Clegane	Dragonglass knife	Blade	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2020	7	6	Wight	Sandor “the Hound” Clegane	Dragonglass knife	Blade	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2021	7	6	Wight	Sandor “the Hound” Clegane	Dragonglass knife	Blade	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2022	7	6	Wight	Tormund	Dragonglass axe	Axe	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2023	7	6	Wight	Sandor “the Hound” Clegane	Dragonglass knife	Blade	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2024	7	6	Wight	Beric Dondarrion	Flaming sword	Blade	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2025	7	6	Wight	Jorah Mormont	Dragonglass knife	Blade	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2026	7	6	Wight	Drogon	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2027	7	6	Wight	Drogon	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2028	7	6	Wight	Drogon	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2029	7	6	Wight	Drogon	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2030	7	6	Wight	Drogon	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2031	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2032	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2033	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2034	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2035	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2036	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2037	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2038	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2039	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2040	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2041	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2042	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2043	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2044	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2045	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2046	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2047	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2048	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2049	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2050	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2051	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2052	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2053	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2054	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2055	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2056	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2057	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2058	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2059	7	6	Wight	Viserion	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2106	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2107	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2108	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2109	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2110	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2111	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2112	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2113	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2114	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2115	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2116	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2117	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2118	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2119	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2120	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2121	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2122	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2123	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2124	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2125	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2126	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2127	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2128	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2129	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2130	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2131	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2132	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2133	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2134	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2135	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2136	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2137	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2138	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2139	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2140	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2141	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2142	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2143	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2144	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2145	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2146	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2147	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2148	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2149	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2150	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2151	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2152	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2153	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2154	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2155	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2156	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2157	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2158	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2159	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2160	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2161	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2162	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2163	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2164	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2165	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2166	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2167	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2168	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2169	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2170	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2171	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2172	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2173	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2174	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2175	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2176	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2177	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2178	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2179	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2180	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2181	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2182	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2183	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2184	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2185	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2186	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2187	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2188	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2189	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2190	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2191	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2192	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2193	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2194	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2195	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2196	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2197	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2198	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2199	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2200	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2201	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2202	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2203	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2204	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2205	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2206	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2207	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2208	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2209	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2210	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2211	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2212	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2213	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2214	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
2215	7	6	Wight	Rhaegal	Dragonfire	Animal	Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.	Beyond the Wall	None	1
